1;Ronde 1;06-09-2015;06-09-2015
2;Ronde 2;13-09-2015;13-09-2015
3;Ronde 3;20-09-2015;20-09-2015
4;Ronde 4;27-09-2015;27-09-2015
5;Ronde 5;04-10-2015;04-10-2015
6;Ronde 6;11-10-2015;11-10-2015
7;Ronde 7;18-10-2015;18-10-2015
8;Ronde 8;01-11-2015;01-11-2015
9;Ronde 9;08-11-2015;08-11-2015
10;Ronde 10;15-11-2015;15-11-2015
11;Ronde 11;29-11-2015;29-11-2015
12;Ronde 12;06-12-2015;06-12-2015
13;Ronde 13;14-02-2016;14-02-2016
14;Ronde 14;21-02-2016;21-02-2016
15;Ronde 15;06-03-2016;06-03-2016
16;Ronde 16;13-03-2016;13-03-2016
17;Ronde 17;20-03-2016;20-03-2016
18;Ronde 18;03-04-2016;03-04-2016
19;Ronde 19;10-04-2016;10-04-2016
20;Ronde 20;17-04-2016;17-04-2016
21;Ronde 21;01-05-2016;01-05-2016
22;Ronde 22;08-05-2016;08-05-2016
